date,training_load,ios_version,apple_sleep_score,restorative_sleep,hrv_trend,fatigue_hooper,soreness_hooper,stress_hooper,sleep_hooper
2024-08-12,中,26,74,medium,stable,3,2,3,3
2024-08-13,低,26,78,high,rising,2,2,2,2
2024-08-14,无,26,82,high,rising,2,1,2,2
2024-08-15,低,26,76,medium,stable,3,3,3,3
2024-08-16,中,26,71,medium,slight_decline,4,3,3,4
2024-08-17,高,26,68,low,slight_decline,5,4,4,5
2024-08-18,中,26,73,medium,stable,4,3,3,4
2024-08-19,低,26,79,high,rising,2,2,2,2
2024-08-20,无,26,85,high,rising,1,1,1,1
2024-08-21,中,26,77,medium,stable,3,2,3,3
2024-08-22,中,26,72,medium,stable,3,3,3,3
2024-08-23,高,26,69,low,slight_decline,5,4,4,5
2024-08-24,极高,26,65,low,significant_decline,6,5,5,6
2024-08-25,中,26,70,medium,stable,4,4,4,4
2024-08-26,低,26,75,medium,rising,3,3,2,3
2024-08-27,无,26,81,high,rising,2,1,2,2
2024-08-28,低,26,78,high,stable,2,2,2,2
2024-08-29,中,26,74,medium,stable,3,3,3,3
2024-08-30,中,26,73,medium,slight_decline,4,3,3,4
2024-08-31,高,26,67,low,slight_decline,5,4,4,5
2024-09-01,中,26,71,medium,stable,4,3,3,4
2024-09-02,低,26,76,medium,rising,3,2,3,3
2024-09-03,无,26,83,high,rising,2,1,2,2
2024-09-04,中,26,75,medium,stable,3,3,3,3
2024-09-05,中,26,72,medium,stable,3,3,3,3
2024-09-06,高,26,68,low,slight_decline,5,4,4,5
2024-09-07,低,26,74,medium,rising,3,3,2,3
2024-09-08,无,26,80,high,rising,2,2,2,2
2024-09-09,中,26,76,medium,stable,3,2,3,3
2024-09-10,中,26,75,medium,stable,3,3,3,3